id,question,intent,answer_id,answer,source,split
137,Kome se javiti za MathOS cup 2026 (sekcija matematika)?,mathos_cup,A137,Navodi se kontakt mathos.cup@mathos.hr,web,dev
138,Kolika je kotizacija za MathOS cup i kako se plaća?,mathos_cup,A138,"Navodi se kotizacija 10 eura po timu te su dani podaci za uplatu (primatelj, banka, IBAN, poziv na broj i opis).",web,test
139,Postoje li preporuke za smještaj timova koji planiraju prenoćiti?,mathos_cup,A139,Stranica navodi preporučene hostele “Stara Pekara” i “Sokol Centar” uz kontakt podatke.,web,test
140,Koje je radno vrijeme knjižnice?,knjiznica,A140,Knjižnica radi (za korisnike) ponedjeljak–petak 7:30–14:30.,web,train
141,Kako kontaktirati knjižnicu?,knjiznica,A141,Navodi se tel. 031 224 813 i e-mail knjiznica@mathos.hr,web,train
142,Gdje se nalazi knjižnica?,knjiznica,A142,Stranica knjižnice navodi da se nalazi u prizemlju zgrade na Gajevom trgu (Trg Ljudevita Gaja) broj 6.,web,train
143,Je li učlanjenje u knjižnicu besplatno?,knjiznica,A143,Na stranici knjižnice piše da je učlanjenje besplatno; isto navodi i pravilnik knjižnice.,web,train
144,Što trebam za posudbu knjiga kao student?,knjiznica,A144,Stranica knjižnice navodi da se pri učlanjenju pokazuje studentska iskaznica; pravilnik dodatno propisuje učlanjenje studenata uz predočenje indeksa.,web,train
145,Koliko knjiga mogu imati posuđeno istovremeno?,knjiznica,A145,Stranica knjižnice navodi najviše 3 knjige; isto navodi i pravilnik (najviše tri jedinice građe).,web,train
146,Koliki je rok posudbe knjiga?,knjiznica,A146,Stranica knjižnice navodi rok 15 dana; pravilnik također navodi posudbu na 15 dana.,web,train
147,Mogu li produžiti rok posudbe?,knjiznica,A147,Pravilnik knjižnice navodi da je posudbu moguće jednom produžiti ako knjižnica ima na raspolaganju drugi primjerak istog djela.,pravilnik,train
148,Mogu li posuditi časopise iz knjižnice?,knjiznica,A148,Stranica knjižnice navodi da se časopisi ne mogu iznositi iz čitaonice; pravilnik navodi da se časopisi ne posuđuju.,web,train
149,Smije li se referentna literatura posuđivati?,knjiznica,A149,Stranica knjižnice navodi da se referentna građa ne iznosi iz čitaonice; pravilnik navodi da se referentna literatura ne posuđuje.,web,train
150,Može li mi knjižnica blokirati upis u višu godinu ako ne vratim posuđene knjige?,knjiznica,A150,Pravilnik navodi da student ne može upisati sljedeću godinu studija ako ne vrati sve posuđene knjige.,pravilnik,dev
151,Mogu li dobiti potvrdu o završetku studija ako nisam razdužio knjige u knjižnici?,knjiznica,A151,Pravilnik navodi da se studentima ne može izdati potvrda o završetku studija niti ispisnica dok ne vrate svu posuđenu knjižničnu građu.,pravilnik,dev
152,Postoje li posljedice ako prekoračim rok posudbe?,knjiznica,A152,Pravilnik navodi mogućnost naplate zakasnine i da član koji je prekoračio rok posudbe nema pravo daljnjeg posuđivanja dok ne izvrši obvezu.,pravilnik,test
153,Koja su osnovna pravila ponašanja u čitaonici knjižnice?,knjiznica,A153,"Pravilnik navodi da u čitaonici nije dopušteno narušavanje mira i tišine, upotreba mobilnih uređaja, grupni rad niti unošenje i konzumiranje hrane i pića.",pravilnik,test
154,Gdje mogu dobiti potvrdu o studiranju?,referada,A154,Potvrde o statusu studenta izdaje studentska referada (Ured za studente i studije).,web,train
155,"Treba mi uvjerenje da sam student, kome se javljam?",referada,A155,Obrati se studentskoj referadi koja izdaje potvrde o statusu studenta.,web,train
156,Tko izdaje prijepis ocjena?,referada,A017,Prijepise ocjena izdaje studentska referada.,web,train
157,Gdje se podižu službeni dokumenti vezani uz studij?,referada,A156,U studentskoj referadi.,web,train
158,Mogu li tražiti dokumente putem maila?,referada,A010,Službeni e-mail studentske referade je referada@mathos.hr,web,train
159,Koji je email referade?,referada,A010,Službeni e-mail studentske referade je referada@mathos.hr,web,train
160,Na koji mail se javljam za pitanja oko studija?,referada,A010,Službeni e-mail studentske referade je referada@mathos.hr,web,train
161,Gdje se nalazi referada?,referada,A012,"Studentska referada je na adresi Trg Ljudevita Gaja 6, 31000 Osijek. ",web,train
162,Koji je telefon referade?,referada,A157,+385 31 224 860.,web,train
163,Radno vrijeme referade?,referada,A011,Radno vrijeme za studente je ponedjeljak–petak 7:30–14:30.,web,train
164,Kad mogu doći osobno u referadu?,referada,A011,Tijekom radnog vremena za studente (7:30 – 14:30).,web,train
165,Koje dokumente trebam za upis?,upisi,A044,"Fotografija, kopija osobne iskaznice, potvrda o uplati troškova i matični list.",web,dev
166,Što treba donijeti za prvi upis?,upisi,A044,"Fotografiju, osobnu iskaznicu (presliku), potvrdu o uplati i matični list.",web,dev
167,Mogu li poslati dokumente mailom za upis?,upisi,A046,"Da, dokumenti se mogu poslati na referada@mathos.hr",web,train
168,Što ako ne dođem na upis u terminu?,upisi,A047,Gubi se pravo na upis ako se ne iskoristi u predviđenom roku.,web,train
169,Kako se prijaviti na diplomski studij?,upisi,A053,Prijava se može donijeti osobno u Ured za studente i studije ili poslati na e-mail referada@mathos.hr,web,test
170,Koji dokumenti trebaju za diplomski upis?,upisi,A054,"Diploma ili uvjerenje o završetku studija, prijepis ocjena, formular prijave i ostali dokumenti prema natječaju.",web,train
171,Tko je dekan fakulteta?,povijest,A158,Prof. dr. sc. Kristian Sabo.,web,dev
172,"Treba mi potvrda za studentski dom, gdje to vadim?",referada,A156,U studentskoj referadi.,web,train
173,Moram li osobno dolaziti po potvrdu ili ide online?,referada,A159,Možeš kontaktirati referadu emailom i raspitati se o izdavanju.,web,train
174,"Ne znam kome poslati upit o studiju, help?",referada,A160,Pošalji mail na referada@mathos.hr,web,train
175,Gdje pitati za papirologiju i administraciju?,referada,A156,U studentskoj referadi.,web,train
176,Gdje vadim potvrdu o studiranju?,referada,A156,U studentskoj referadi.,web,train
177,"Treba mi potvrda za studentski dom, gdje se javiti?",referada,A156,U studentskoj referadi.,web,train
178,Tko izdaje službene dokumente s faksa?,referada,A155,Obrati se studentskoj referadi koja izdaje potvrde o statusu studenta.,web,train
179,Gdje dobiti uvjerenje da sam redovni student?,referada,A156,U studentskoj referadi.,web,train
180,Kome poslati zahtjev za potvrdu o statusu?,referada,A156 ,Studentskoj referadi.,web,train
181,Koji je mail referade?,referada,A010,Službeni e-mail studentske referade je referada@mathos.hr,web,train
182,Na koji mail pitati za studij?,referada,A010,Službeni e-mail studentske referade je referada@mathos.hr,web,train
183,Koji broj nazvati za administraciju studija?,referada,A157,+385 31 224 860.,web,test
184,Kad referada radi sa studentima?,referada,A011,Radno vrijeme za studente je ponedjeljak–petak 7:30–14:30.,web,train
185,Kada mogu doći osobno riješiti papirologiju?,referada,A011,Radno vrijeme za studente je ponedjeljak–petak 7:30–14:30.,web,train
186,Trebam kontakt osobe koja rješava studentske stvari.,referada,A157 ,+385 31 224 860.,web,test
187,Koji dokumenti trebaju za upis?,upisi,A044,"Fotografija, kopija osobne iskaznice, potvrda o uplati troškova i matični list.",web,dev
188,Što moram donijeti prvi dan upisa?,upisi,A044,"Fotografija, kopija osobne iskaznice, potvrda o uplati troškova i matični list.",web,dev
189,Kako se prijaviti na diplomski?,upisi,A053,Prijava se može donijeti osobno u Ured za studente i studije ili poslati na e-mail referada@mathos.hr,web,test
190,Koje papire treba za diplomski upis?,upisi,A054,"Navode se: uvjerenje/diploma o završenom prijediplomskom (ili drugom) studiju, službeni prijepis ocjena ili dopunska isprava o studiju, potvrde o međunarodnim natjecanjima/nagradama (ako postoje) te ispunjeni formular prijave.",web,train
191,Gdje je MathOS točno?,povijest,A007,Fakultet je smješten u prostoru bivše vojarne “Gaj” na adresi Trg Ljudevita Gaja 6 u Osijeku.,web,test
192,Koja je adresa fakulteta?,povijest,A007,Fakultet je smješten u prostoru bivše vojarne “Gaj” na adresi Trg Ljudevita Gaja 6 u Osijeku.,web,test
193,Tko je dekan?,povijest,A157,Prof. dr. sc. Kristian Sabo.,web,test
194,Gdje mogu vidjeti raspored predavanja?,nastava,A160,"Raspored nastave, promjene termina i informacije o kolegijima objavljuju se na službenim stranicama fakulteta i/ili putem sustava za e-učenje i obavijesti nastavnika.",web,train
195,Kako provjeriti kad imam nastavu ovaj semestar?,nastava,A160,"Raspored nastave, promjene termina i informacije o kolegijima objavljuju se na službenim stranicama fakulteta i/ili putem sustava za e-učenje i obavijesti nastavnika.",web,train
196,Jel postoji online raspored kolegija negdje?,nastava,A160,"Raspored nastave, promjene termina i informacije o kolegijima objavljuju se na službenim stranicama fakulteta i/ili putem sustava za e-učenje i obavijesti nastavnika.",web,train
197,Gdje se objavljuju promjene termina predavanja?,nastava,A160,"Raspored nastave, promjene termina i informacije o kolegijima objavljuju se na službenim stranicama fakulteta i/ili putem sustava za e-učenje i obavijesti nastavnika.",web,train
198,Kome se javiti ako imam pitanje oko gradiva?,nastava,A161,"Za pitanja vezana uz sadržaj kolegija, zadatke ili način izvođenja nastave potrebno je kontaktirati predmetnog nastavnika.",web,dev
199,"Profesor je promijenio zadatak, gdje pitati detalje?",nastava,A161,"Za pitanja vezana uz sadržaj kolegija, zadatke ili način izvođenja nastave potrebno je kontaktirati predmetnog nastavnika.",web,dev
200,"Ne razumijem obveze na kolegiju, jel se javim referadi ili profesoru?",nastava,A161,"Za pitanja vezana uz sadržaj kolegija, zadatke ili način izvođenja nastave potrebno je kontaktirati predmetnog nastavnika.",web,dev
201,Gdje se objavljuju prezentacije i materijali s predavanja?,nastava,A162,Materijali za nastavu i obavijesti često se dijele putem sustava za e-učenje ili službenih kanala koje koristi predmetni nastavnik.,web,test
202,Profesor je rekao da će uploadati materijale — gdje ih tražiti?,nastava,A162,Materijali za nastavu i obavijesti često se dijele putem sustava za e-učenje ili službenih kanala koje koristi predmetni nastavnik.,web,test
203,Jel svi kolegiji koriste neki online sustav za materijale?,nastava,A162,Materijali za nastavu i obavijesti često se dijele putem sustava za e-učenje ili službenih kanala koje koristi predmetni nastavnik.,web,test
